Episode,Average Reward
0,4.248586702131805
1,4.294611323310932
2,5.236380642183938
3,4.833428367113659
4,5.011837664990888
5,7.013601499865165
6,5.903436201327796
7,9.94751588599089
8,9.783763481364918
9,10.204718122635938
10,9.950564131605894
11,7.072330378094703
12,11.43305712107447
13,15.72788345095051
14,12.442885694811107
15,27.6656539721302
16,16.149293038608086
17,16.356155731412457
18,17.873194950234137
19,15.093970963408045
20,13.245167072710222
21,22.314159945725457
22,27.00577327946825
23,20.51094024465799
24,18.555797653353014
25,19.778448386709034
26,24.073800568647783
27,27.79938214220774
28,33.02660632428707
29,33.789044663939855
30,38.57627968925125
31,38.98503600457642
32,30.04600387836539
33,41.247844101645384
34,51.949134078858876
35,35.30549097351894
36,43.987641978276756
37,51.57428523541718
38,56.39436087450034
39,85.14476118471134
40,66.34750825715248
41,47.81758976025593
42,51.0350285046402
43,55.82826387191814
44,56.29881853482006
45,102.80538564842827
46,54.92532144181014
47,68.25746505860316
48,68.88424547516877
49,82.96329702424794
50,87.55105282070083
51,71.05209628132454
52,42.836703382400046
53,30.015845742115694
54,37.67870363026167
55,48.0651524974061
56,49.02573847862198
57,51.2493529417291
58,63.0608029425204
59,74.54184217300623
60,42.569706757682944
61,42.638989825257205
62,29.64285978314018
63,59.850134472768715
64,32.59113222766641
65,34.926169504151915
66,21.460556890803584
67,24.51645176221465
68,31.52486722989527
69,22.710765817976448
70,33.950196992897396
71,31.877786083055998
72,72.18549454190953
73,52.45043160661678
74,45.37728461081075
75,56.660779973263075
76,26.693646087585257
77,34.889097310568175
78,42.68422959697309
79,51.42724412763514
80,73.12227220175495
81,56.39732360741883
82,47.95788851412065
83,70.58888771094003
84,46.442646943853404
85,39.853222461478964
86,50.121527261752846
87,21.80089818048218
88,37.17640389088239
89,25.446925437260425
